time,Muttonpulao_02_small peptides absorbed,Cholebhature_01_small peptides absorbed,Curdrice_01_small peptides absorbed,Lemonrice_01_small peptides absorbed,Pasta_01_small peptides absorbed,Masaladosa_01_small peptides absorbed,Vegetable_Biryani_01_small peptides absorbed,Rice_01_small peptides absorbed,Paneer_01_small peptides absorbed,Milk_Chocolate_01_small peptides absorbed,Peanuts_01_small peptides absorbed,Curd_01_small peptides absorbed,Bread_Meal_01_small peptides absorbed,Chickensandwich_01_small peptides absorbed,Apple_Pineapplesalad_01_small peptides absorbed,Spinach_01_small peptides absorbed,Bread_Meal_02_small peptides absorbed,Orange_01_small peptides absorbed,Omelette_01_small peptides absorbed
337.01,0.0011,0.00095,0.00063,0.00069,0.00045,0.00039,0.0008,0.00029,0.00121,0.00052,0.00055,0.0,0.00044,0.00138,6e-05,0.0,0.00064,0.0,0.00085
338.01,0.0011,0.00095,0.00063,0.00069,0.00045,0.00039,0.0008,0.00029,0.00121,0.00051,0.00055,0.0,0.00044,0.00138,6e-05,0.0,0.00064,0.0,0.00085
339.01,0.0011,0.00095,0.00063,0.00069,0.00045,0.00039,0.0008,0.00029,0.00121,0.00051,0.00055,0.0,0.00044,0.00138,5e-05,0.0,0.00064,0.0,0.00085
340.01,0.0011,0.00095,0.00063,0.00069,0.00045,0.00039,0.00079,0.00029,0.00121,0.00051,0.00054,0.0,0.00044,0.00138,5e-05,0.0,0.00064,0.0,0.00085
341.01,0.0011,0.00095,0.00063,0.00069,0.00044,0.00039,0.00079,0.00028,0.00121,0.0005,0.00054,0.0,0.00044,0.00138,5e-05,0.0,0.00064,0.0,0.00085
342.01,0.0011,0.00095,0.00063,0.00069,0.00044,0.00038,0.00079,0.00028,0.00121,0.0005,0.00053,0.0,0.00043,0.00138,5e-05,0.0,0.00064,0.0,0.00085
343.01,0.0011,0.00095,0.00063,0.00069,0.00044,0.00038,0.00079,0.00028,0.00121,0.0005,0.00053,0.0,0.00043,0.00138,5e-05,0.0,0.00064,0.0,0.00084
344.01,0.0011,0.00095,0.00062,0.00069,0.00044,0.00038,0.00079,0.00028,0.00121,0.00049,0.00053,0.0,0.00043,0.00138,5e-05,0.0,0.00064,0.0,0.00084
345.01,0.0011,0.00095,0.00062,0.00069,0.00044,0.00038,0.00079,0.00028,0.00121,0.00049,0.00052,0.0,0.00043,0.00138,4e-05,0.0,0.00064,0.0,0.00084
346.01,0.0011,0.00095,0.00062,0.00069,0.00044,0.00038,0.00079,0.00028,0.00121,0.00049,0.00052,0.0,0.00043,0.00138,4e-05,0.0,0.00064,0.0,0.00084
347.01,0.0011,0.00095,0.00062,0.00069,0.00044,0.00038,0.00079,0.00028,0.00121,0.00048,0.00051,0.0,0.00043,0.00138,4e-05,0.0,0.00064,0.0,0.00084
348.01,0.0011,0.00095,0.00062,0.00069,0.00043,0.00038,0.00079,0.00028,0.0012,0.00048,0.00051,0.0,0.00042,0.00138,4e-05,0.0,0.00064,0.0,0.00083
349.01,0.0011,0.00095,0.00062,0.00069,0.00043,0.00038,0.00079,0.00028,0.0012,0.00048,0.00051,0.0,0.00042,0.00138,4e-05,0.0,0.00064,0.0,0.00083
350.01,0.0011,0.00095,0.00062,0.00069,0.00043,0.00037,0.00079,0.00027,0.0012,0.00047,0.0005,0.0,0.00042,0.00138,4e-05,0.0,0.00064,0.0,0.00083
351.01,0.0011,0.00095,0.00062,0.00069,0.00043,0.00037,0.00079,0.00027,0.0012,0.00047,0.0005,0.0,0.00042,0.00138,3e-05,0.0,0.00064,0.0,0.00083
352.01,0.0011,0.00095,0.00062,0.00069,0.00043,0.00037,0.00079,0.00027,0.0012,0.00047,0.00049,0.0,0.00042,0.00138,3e-05,0.0,0.00064,0.0,0.00083
353.01,0.0011,0.00095,0.00062,0.00069,0.00043,0.00037,0.00079,0.00027,0.0012,0.00046,0.00049,0.0,0.00042,0.00138,3e-05,0.0,0.00064,0.0,0.00082
354.01,0.0011,0.00095,0.00062,0.00069,0.00043,0.00037,0.00079,0.00027,0.0012,0.00046,0.00049,0.0,0.00042,0.00138,3e-05,0.0,0.00064,0.0,0.00082
355.01,0.0011,0.00095,0.00062,0.00069,0.00042,0.00037,0.00079,0.00027,0.0012,0.00046,0.00048,0.0,0.00041,0.00138,3e-05,0.0,0.00064,0.0,0.00082
356.01,0.0011,0.00095,0.00062,0.00069,0.00042,0.00037,0.00079,0.00027,0.0012,0.00045,0.00048,0.0,0.00041,0.00138,3e-05,0.0,0.00064,0.0,0.00082
357.01,0.0011,0.00095,0.00062,0.00069,0.00042,0.00037,0.00079,0.00026,0.0012,0.00045,0.00047,0.0,0.00041,0.00138,3e-05,0.0,0.00064,0.0,0.00082
358.01,0.0011,0.00095,0.00061,0.00068,0.00042,0.00037,0.00079,0.00026,0.0012,0.00045,0.00047,0.0,0.00041,0.00138,2e-05,0.0,0.00064,0.0,0.00082
359.01,0.0011,0.00095,0.00061,0.00068,0.00042,0.00037,0.00079,0.00026,0.0012,0.00044,0.00046,0.0,0.00041,0.00138,2e-05,0.0,0.00064,0.0,0.00081
360.01,0.0011,0.00095,0.00061,0.00068,0.00042,0.00037,0.00079,0.00026,0.0012,0.00044,0.00046,0.0,0.00041,0.00138,2e-05,0.0,0.00064,0.0,0.00081
361.01,0.0011,0.00095,0.00061,0.00068,0.00041,0.00036,0.00079,0.00026,0.0012,0.00044,0.00046,0.0,0.0004,0.00138,2e-05,0.0,0.00064,0.0,0.00081
362.01,0.0011,0.00095,0.00061,0.00068,0.00041,0.00036,0.00079,0.00026,0.0012,0.00043,0.00045,0.0,0.0004,0.00139,2e-05,0.0,0.00064,0.0,0.00081
363.01,0.0011,0.00095,0.00061,0.00068,0.00041,0.00036,0.00079,0.00025,0.0012,0.00043,0.00045,0.0,0.0004,0.00139,2e-05,0.0,0.00064,0.0,0.00081
364.01,0.0011,0.00095,0.00061,0.00068,0.00041,0.00036,0.00079,0.00025,0.00119,0.00042,0.00044,0.0,0.0004,0.00139,2e-05,0.0,0.00064,0.0,0.0008
365.01,0.0011,0.00095,0.00061,0.00068,0.00041,0.00036,0.00079,0.00025,0.00119,0.00042,0.00044,0.0,0.0004,0.00139,2e-05,0.0,0.00064,0.0,0.0008
366.01,0.0011,0.00095,0.00061,0.00068,0.00041,0.00036,0.00079,0.00025,0.00119,0.00042,0.00043,0.0,0.00039,0.00139,2e-05,0.0,0.00064,0.0,0.0008
367.01,0.0011,0.00095,0.00061,0.00068,0.0004,0.00036,0.00079,0.00025,0.00119,0.00041,0.00043,0.0,0.00039,0.00139,2e-05,0.0,0.00064,0.0,0.0008
