time,Muttonpulao_02_small peptides absorbed,Cholebhature_01_small peptides absorbed,Curdrice_01_small peptides absorbed,Lemonrice_01_small peptides absorbed,Pasta_01_small peptides absorbed,Masaladosa_01_small peptides absorbed,Vegetable_Biryani_01_small peptides absorbed,Rice_01_small peptides absorbed,Paneer_01_small peptides absorbed,Milk_Chocolate_01_small peptides absorbed,Peanuts_01_small peptides absorbed,Curd_01_small peptides absorbed,Bread_Meal_01_small peptides absorbed,Chickensandwich_01_small peptides absorbed,Apple_Pineapplesalad_01_small peptides absorbed,Spinach_01_small peptides absorbed,Bread_Meal_02_small peptides absorbed,Orange_01_small peptides absorbed,Omelette_01_small peptides absorbed
1.01,5e-05,5e-05,3e-05,2e-05,0.0,3e-05,3e-05,0.0,8e-05,0.0,0.0,0.0,0.0,6e-05,1e-05,0.0,0.0,0.0,7e-05
2.01,0.00012,0.00013,0.0001,9e-05,1e-05,0.00011,0.00011,1e-05,0.00019,1e-05,2e-05,2e-05,1e-05,0.00016,5e-05,1e-05,1e-05,1e-05,0.00021
3.01,0.00016,0.00016,0.00016,0.00013,1e-05,0.00017,0.00015,1e-05,0.00026,4e-05,4e-05,6e-05,1e-05,0.00023,0.00011,3e-05,1e-05,1e-05,0.00029
4.01,0.00019,0.00018,0.00018,0.00017,2e-05,0.00022,0.00017,2e-05,0.00031,7e-05,6e-05,0.00012,2e-05,0.0003,0.00018,5e-05,2e-05,2e-05,0.00034
5.01,0.00022,0.0002,0.00019,0.0002,3e-05,0.00027,0.00018,3e-05,0.00038,0.00012,0.0001,0.00019,3e-05,0.00037,0.00024,8e-05,3e-05,3e-05,0.00039
6.01,0.00026,0.00025,0.0002,0.00022,4e-05,0.00031,0.00019,4e-05,0.00045,0.00016,0.00015,0.00026,4e-05,0.00043,0.00029,0.00012,4e-05,4e-05,0.00044
7.01,0.0003,0.0003,0.00021,0.00024,5e-05,0.00035,0.00023,5e-05,0.00051,0.00021,0.0002,0.00033,6e-05,0.00048,0.00033,0.00015,6e-05,4e-05,0.00053
8.01,0.00034,0.00035,0.00022,0.00026,7e-05,0.00038,0.00027,6e-05,0.00056,0.00025,0.00025,0.00039,7e-05,0.00053,0.00037,0.00019,7e-05,5e-05,0.00062
9.01,0.00038,0.00041,0.00024,0.00028,8e-05,0.00042,0.00031,7e-05,0.0006,0.0003,0.00031,0.00044,8e-05,0.00058,0.0004,0.00022,8e-05,6e-05,0.00068
10.01,0.00042,0.00047,0.00027,0.0003,9e-05,0.00045,0.00035,8e-05,0.00064,0.00034,0.00036,0.00047,0.0001,0.00063,0.00044,0.00025,0.0001,6e-05,0.00073
11.01,0.00046,0.00052,0.0003,0.00032,0.00011,0.00048,0.00039,9e-05,0.00068,0.00038,0.00042,0.0005,0.00011,0.00068,0.00047,0.00027,0.00011,7e-05,0.00076
12.01,0.0005,0.00055,0.00034,0.00033,0.00012,0.0005,0.00043,0.0001,0.0007,0.00042,0.00047,0.00052,0.00012,0.00072,0.0005,0.00029,0.00012,7e-05,0.00078
13.01,0.00053,0.00058,0.00037,0.00035,0.00013,0.00053,0.00047,0.00011,0.00073,0.00046,0.00052,0.00054,0.00013,0.00076,0.00054,0.00031,0.00013,8e-05,0.00081
14.01,0.00057,0.00059,0.00041,0.00036,0.00015,0.00055,0.0005,0.00012,0.00075,0.00049,0.00057,0.00055,0.00015,0.0008,0.00057,0.00033,0.00015,8e-05,0.00083
15.01,0.0006,0.0006,0.00044,0.00037,0.00016,0.00057,0.00052,0.00012,0.00077,0.00052,0.00062,0.00055,0.00016,0.00084,0.00061,0.00034,0.00016,9e-05,0.00085
