time,Muttonpulao_02_serum_glucose_mg_dl,Cholebhature_01_serum_glucose_mg_dl,Curdrice_01_serum_glucose_mg_dl,Lemonrice_01_serum_glucose_mg_dl,Pasta_01_serum_glucose_mg_dl,Masaladosa_01_serum_glucose_mg_dl,Vegetable_Biryani_01_serum_glucose_mg_dl,Rapid_starch_01_serum_glucose_mg_dl,Chickenbreast_01_serum_glucose_mg_dl,Rice_01_serum_glucose_mg_dl,Eggwhite_01_serum_glucose_mg_dl,Paneer_01_serum_glucose_mg_dl,Milk_Chocolate_01_serum_glucose_mg_dl,Peanuts_01_serum_glucose_mg_dl,Curd_01_serum_glucose_mg_dl,Glucose_01_serum_glucose_mg_dl,Biscuit_01_serum_glucose_mg_dl,Glucose_02_serum_glucose_mg_dl,Bread_Meal_01_100_serum_glucose_mg_dl,Chickensandwich_01_serum_glucose_mg_dl,Ghee_01_serum_glucose_mg_dl,Apple_Pineapplesalad_01_serum_glucose_mg_dl,Spinach_01_serum_glucose_mg_dl,Bread_meal_02_serum_glucose_mg_dl,Orange_01_serum_glucose_mg_dl,Omelette_01_serum_glucose_mg_dl,Muttonpulao_01_serum_glucose_mg_dl,Arabinose_01_serum_glucose_mg_dl
16.01,105.94134,103.58147,113.79519,111.25292,117.29861,93.65038,108.73015,127.00168,84.93298,119.88405,84.93299,89.77553,99.83617,93.54006,87.34042,144.66999,98.16018,147.66538,120.51539,97.54828,84.93299,107.40687,85.45799,120.51539,97.79449,91.5053,111.25292,84.93275
17.01,106.2095,103.65813,114.26263,112.63377,119.12265,94.07821,108.6925,130.10222,84.93298,122.54794,84.93299,89.96379,100.71786,94.15366,87.4452,146.69152,100.6975,150.37724,122.68959,98.04993,84.93299,108.56023,85.49239,122.68959,98.88811,91.73646,112.63377,84.9327
18.01,106.19724,103.58723,114.43055,113.79847,120.77255,94.45703,108.46833,133.10179,84.93298,125.18613,84.93299,90.13751,101.43213,94.7088,87.54342,147.90248,103.39678,152.3804,124.74988,98.4431,84.93299,109.38506,85.52372,124.74988,99.91182,91.94719,113.79847,84.93265
19.01,105.96771,103.39737,114.36128,114.8176,122.28205,94.78565,108.12987,135.94859,84.93297,127.80465,84.93298,90.29679,101.96307,95.20125,87.63582,148.37187,106.20167,153.43126,126.67819,98.71952,84.93298,109.89186,85.55193,126.67819,100.8472,92.13741,114.8176,84.9326
20.01,105.57948,103.11424,114.10775,115.7104,123.64296,95.06313,107.7205,138.58519,84.93297,130.36728,84.93298,90.44182,102.29986,95.62708,87.72304,,109.02518,153.40676,128.44027,98.8736,84.93298,110.12678,85.57702,128.44027,101.67531,92.30713,115.7104,84.93255
21.01,105.0772,102.75908,113.71433,116.46258,124.83428,95.28831,107.26466,140.9441,84.93297,132.82407,84.93298,90.57279,102.44052,95.98261,87.80552,,111.74986,152.53913,129.9996,98.90371,84.93298,110.14555,85.59901,129.9996,102.37761,92.45648,116.46258,84.93249
22.01,104.49187,102.34868,113.21606,117.04576,125.83424,95.45965,106.7757,142.95823,84.93296,135.11894,84.93297,90.6899,102.39366,96.26447,87.88346,,114.27535,150.82772,131.32137,98.813,84.93297,109.99486,85.61792,131.32137,102.93741,92.58563,117.04576,84.93242
23.01,103.84446,101.89609,112.63936,117.43019,126.62476,95.57535,106.2608,144.56832,84.93295,137.19254,84.93297,90.79331,102.17764,96.46977,87.95682,,116.60676,148.50028,132.37436,98.60929,84.93297,109.70811,85.63378,132.37435,103.34177,92.69481,117.43019,84.93236
24.01,103.14945,101.41152,112.00348,117.59503,127.19262,95.63381,105.7238,145.72823,84.93294,138.98646,84.93296,90.88321,101.8177,96.59638,88.0255,,118.85038,145.46708,133.13224,98.30423,84.93296,109.30851,85.6466,133.13197,103.58354,92.78423,117.59503,84.93229
25.01,102.41739,100.90322,111.32203,117.53443,127.52988,95.63422,105.16688,146.40737,84.93293,140.44926,84.93295,90.9598,101.34235,96.64325,88.08941,,121.10193,142.19163,133.57496,97.91203,84.93295,108.81315,85.65642,133.57331,103.66272,92.85419,117.53443,84.93222
26.01,101.65654,100.37811,110.60452,117.25606,127.63449,95.57703,104.59147,146.58932,84.93292,141.54092,84.93295,91.02329,100.78027,96.61066,88.14854,,123.39466,138.56937,133.68869,97.44812,84.93295,108.2357,85.66328,133.68421,103.58641,92.90505,117.25606,84.93215
27.01,100.87388,99.84225,109.85754,116.77543,127.51011,95.46427,103.99884,146.2744,84.93291,142.23379,84.93294,91.07395,100.15834,96.50048,88.2029,,125.71939,134.4704,133.46517,96.92803,84.93294,107.58794,85.66722,133.4588,103.36745,92.9373,116.77543,84.93207
