_step,_runtime,_timestamp,train/reward,train/reward_rolling_avg,train/distance,train/consumption,train/actor_loss,train/critic_loss,train/entropy
2,0.293131667,1785041559.722023,-1861.344967099624,-1706.0212223739636,2055.487665243447,123,-0.012794790149200708,4135.709899902344,0.6505393721163273
4,0.293131667,1785041560.7396579,-341.1711243422168,-1111.0503591089455,922.8219121694565,63,-0.011434210231527686,262.5739793777466,0.5071365777403116
6,0.293131667,1785041561.8014772,-40.63174209062228,-774.318120254789,434.0402494072914,43,-0.011116618741652928,7.65379723906517,0.3046045321971178
8,0.293131667,1785041562.4756029,-31.340429288655272,-581.2197118142719,432.37809905409813,38,-0.00365859002340585,10.055881917476654,0.36868196353316307
10,0.293131667,1785041563.077514,50.86943902126925,-459.1264864652197,276.9852515012026,29,0.004427283827681094,6.205748289823532,0.35487259924411774
12,0.293131667,1785041564.105002,102.92294720017718,-367.4146633434875,197.04897705186158,22,-0.006399351870641112,11.994742214679718,0.24144815094769
14,0.293131667,1785041564.788266,103.38198046746302,-299.6279108147333,179.78100525587797,17,-0.0027713394665624946,7.127165764570236,0.24737757071852684
16,0.293131667,1785041565.0435,104.2245760640301,-249.09953584038658,161.83198849484324,10,-0.002356149780098349,6.593587666749954,0.24845569394528866
18,0.293131667,1785041566.116107,132.50194156081892,-206.99449434608533,125.55789065733552,10,-0.002350421971641481,8.53703111410141,0.189299326390028
20,0.293131667,1785041566.401195,128.53180677613437,-174.31024095895143,140.9557118974626,14,-0.0019003117049578577,10.095691114664078,0.16857764311134815
22,0.293131667,1785041566.679086,130.16545083625556,-147.0600235571548,135.50452281534672,12,-0.0008991875183710363,5.372898161411285,0.09030703268945217
24,0.293131667,1785041566.938406,103.76487090234008,-125.55930423217148,171.16722418367863,5,-0.0017383902450092137,0.7047136165201664,0.10977571737021208
26,0.293131667,1785041567.192953,116.33540189835374,-107.642269632981,140.08774032071233,7,-0.00187918747542426,15.147137641906738,0.1461773430928588
28,0.293131667,1785041567.842777,138.6352379806553,-90.98375365032098,125.6178771480918,14,-0.0032771547557786107,4.804374843835831,0.13433389365673065
30,0.293131667,1785041568.151583,124.0712781904669,-77.25271033176888,139.07931796461344,11,-0.0018201687853434123,6.30039256811142,0.1571215447038412
32,0.293131667,1785041568.405919,129.43276665644476,-64.05207503369019,136.18761013820767,7,-0.0035547375155147165,18.86431097984314,0.16028590500354767
34,0.293131667,1785041568.68442,120.18118849369664,-54.47037333566371,149.9222379848361,10,-0.0017434077453799546,4.088028192520142,0.19008031208068132
36,0.293131667,1785041568.940375,129.59046270882976,-44.67127798305842,147.14635137468576,9,-0.002318377257324755,15.663586139678955,0.19773643277585506
38,0.293131667,1785041569.608705,101.05113793342707,-35.54783823393459,182.9679234996438,15,-0.0027178607415407896,1.7632371932268143,0.21074411924928427
40,0.293131667,1785041569.889101,101.91820804224079,-27.636972534020003,167.22611010819674,12,-0.003297660266980529,2.1846042796969414,0.18445610255002975
42,0.293131667,1785041570.145716,135.519904551844,-20.462766481034066,120.05165606737137,12,-0.001397455867845565,19.291459023952484,0.14195831213146448
44,0.293131667,1785041570.430352,108.04204009399402,-14.188352749959922,160.72846901416779,5,-0.0035873681772500277,0.999466098845005,0.17892460990697145
46,0.293131667,1785041570.710054,134.7060485285224,-8.003984915325134,130.19038818776608,11,-0.0022059264592826366,2.660398542881012,0.14871081709861755
48,0.293131667,1785041570.978925,117.33600116093814,-3.447319001244191,127.26119612157345,8,-0.004672552808187902,9.881977319717407,0.2792482627555728
50,0.293131667,1785041571.2602172,106.9353464136207,1.7764107446299389,154.61265770345926,13,-0.013544726883992553,8.797790318727493,0.36593108251690865
52,0.293131667,1785041571.538183,107.68989377327145,75.13863812512882,164.13800606876612,22,0.006544276315253228,5.344986259937286,0.29375453293323517
54,0.293131667,1785041571.8226418,19.136972459924845,98.27556163672642,319.01056630164385,26,-0.0012367413437459618,24.437552511692047,0.3895025998353958
56,0.293131667,1785041572.084064,56.493196374674994,104.915615138296,246.2984737455845,27,-0.014921143796527758,7.588086754083633,0.4061939883977175
58,0.293131667,1785041572.34241,90.38259201775436,109.18958673104308,194.45902699464932,20,-0.005252683331491426,7.101839005947113,0.3097467999905348
60,0.293131667,1785041572.624154,50.478845810803605,111.21149378866957,273.68366734683514,22,0.003998722007963806,4.229286178946495,0.33957959711551666
62,0.293131667,1785041572.881197,13.113175572737209,109.55118998354865,335.03671668469906,30,0.005901491385884583,10.114298313856125,0.41241254284977913
64,0.293131667,1785041573.147836,-9.192620189835907,104.4945883605508,389.7144821062684,31,-0.007801124593243003,3.601748362183571,0.4463699273765087
66,0.293131667,1785041573.434743,33.54520543388691,101.17022835619058,298.4748098142445,28,-0.00490009700297378,7.598122179508209,0.3677282612770796
