_step,_runtime,_timestamp,train/reward,train/reward_rolling_avg,train/distance,train/consumption,train/actor_loss,train/critic_loss,train/entropy
2,0.152557833,1784957309.802133,-1563.6978834607135,-1606.509768853766,1857.7076556831598,121,-0.009647285740356892,4124.112640380859,0.6468757092952728
4,0.152557833,1784957310.9657001,-278.36770565747696,-1036.7959754651627,844.5816952437162,61,-0.008217060356400907,201.67492961883545,0.500519409775734
6,0.152557833,1784957312.000533,15.957963567933994,-703.6490977705998,340.3148658424616,27,-0.0026762878405861557,31.635016202926636,0.37062885984778404
8,0.152557833,1784957312.638944,13.329013868169532,-521.21227509927,356.60032922029495,38,-0.0062802411848679185,7.099858969449997,0.42187074944376945
10,0.152557833,1784957313.360974,122.31860871803063,-402.17835045602857,148.58084436133504,18,-0.0039763933746144176,5.302719905972481,0.2777735162526369
12,0.152557833,1784957313.74335,96.53537733051925,-319.69058027148895,206.37730544432998,18,-0.002407180960290134,11.361762762069702,0.21791012957692146
14,0.152557833,1784957314.411061,155.6702425737567,-254.65418015052973,113.69301731139421,11,-0.0023575466620968655,18.4105966091156,0.1812337003648281
16,0.152557833,1784957314.69314,105.62504981280689,-208.5445201755821,168.2330072671175,9,-0.0022430868993978947,5.4670568108558655,0.15545316878706217
18,0.152557833,1784957315.00479,123.49260717727645,-170.5641640135771,135.81671012938023,8,-0.0017861534797702916,4.4536077082157135,0.1482884855940938
20,0.152557833,1784957315.29309,131.99616186804573,-140.97496951687359,129.7549437507987,10,-0.0016428455710411072,11.499011009931564,0.16428289655596018
22,0.152557833,1784957315.656984,102.95240282468481,-117.526906270564,181.55187954381108,8,-0.0009199296764563769,2.3810690566897392,0.12262018630281091
24,0.152557833,1784957316.021128,138.19828251360278,-97.7722495626186,122.13471805304289,10,-0.0011995686800219119,11.977047741413116,0.11231314158067107
26,0.152557833,1784957316.334532,128.61273837483327,-80.5421989848047,135.48133698105812,10,-0.006263503921218216,18.109689354896545,0.09338931040838361
28,0.152557833,1784957316.6653152,145.90213413553684,-65.29120756992437,112.63666173815727,8,-0.0013289471171447076,2.9341768696904182,0.12062685610726476
30,0.152557833,1784957316.9808772,115.43557100708668,-52.97096563092302,163.88897228054702,10,-0.0015493770479224622,2.0759357810020447,0.1447466779500246
32,0.152557833,1784957317.271188,127.38806192287934,-41.76084869680837,122.34790549427271,9,-0.001973770558834076,19.419036746025085,0.1476620938628912
34,0.152557833,1784957317.586624,114.98167823735096,-32.04307922107011,153.88859869539738,14,-0.0013557769416365772,1.2204191647469997,0.1778907012194395
36,0.152557833,1784957317.8989801,149.6405367035511,-22.965009235677716,101.14412860944867,12,-0.0013809853116981685,19.307154059410095,0.14406337216496468
38,0.152557833,1784957318.2090938,141.67375662678103,-14.61463614030575,112.4105064664036,14,-0.0007900768832769245,5.240038484334946,0.11245496897026896
40,0.152557833,1784957318.488207,136.28112266654568,-6.591519253786697,142.5655712261796,7,-0.00236085441429168,5.080880790948868,0.185049201361835
42,0.152557833,1784957318.76946,149.29647762727203,0.08799849628134382,112.89977988600731,10,-0.002134000271325931,30.105233669281006,0.15679236594587564
44,0.152557833,1784957319.111951,133.28929536385402,5.956000427548141,139.34660950303078,14,-0.00674764761060942,1.7199166044592857,0.20750190503895283
46,0.152557833,1784957319.467562,120.05799597749449,11.220564399791579,179.29465429484844,15,-0.0072267194773303345,5.21771976351738,0.1594986179843545
48,0.152557833,1784957319.765738,120.98280611090112,16.10686305246843,146.49754133075476,13,-0.0027124338812427595,5.930732548236847,0.21331370994448662
50,0.152557833,1784957320.11576,137.6379447913897,20.54887637367885,125.64616544544697,13,-0.002168814855394885,2.796742931008339,0.22172468435019255
52,0.152557833,1784957320.407434,127.27577962221649,90.0606576597832,137.24677969142795,13,-0.0040693425689823925,2.537628635764122,0.2521677128970623
54,0.152557833,1784957320.751345,109.21043276305029,113.39411821515264,160.73508669808507,15,-0.002150911430362612,1.4855182468891144,0.17991594597697258
56,0.152557833,1784957321.068764,147.64210692768964,120.65223384672197,111.12859028205276,12,-0.0030607372464146465,2.054772101342678,0.19039333052933216
58,0.152557833,1784957321.363714,138.59591912005882,124.92988074943065,114.28410685807467,12,-0.0033030678750947118,6.060512691736221,0.2343849278986454
60,0.152557833,1784957321.675464,129.9273557585696,127.37870441137558,146.43785820156336,13,-0.001028209226205945,2.3924757838249207,0.26205261051654816
62,0.152557833,1784957321.960317,151.0143919504145,129.141245773688,115.60002084635198,14,-0.003853405360132456,1.584423840045929,0.24156634230166674
64,0.152557833,1784957322.392341,120.30555056211934,128.81868034895612,150.2819117642939,15,-0.004629713366739452,1.4852291457355022,0.28093718737363815
66,0.152557833,1784957322.7337,151.7798473516395,129.52014164164473,106.49485433846712,11,-0.0033151081297546625,1.6275058686733246,0.21984647400677204
68,0.152557833,1784957323.2105138,141.59665111450713,129.5363752819086,112.99992217496037,15,-0.0007754003891022876,2.642837382853031,0.21003741957247257
70,0.152557833,1784957323.582005,106.81815850377932,129.25878719780025,165.3156873881817,20,-0.001197123376186937,1.9726699069142342,0.228858957067132
72,0.152557833,1784957323.8929121,128.08874085782668,129.64664771497053,152.12180557101965,16,-0.006627589231356978,2.286730222404003,0.16754219494760036
74,0.152557833,1784957324.5656488,157.88508481547922,129.89184963507134,89.73878148756921,9,-0.00047153138439171016,1.8010530099272728,0.16455565951764584
76,0.152557833,1784957325.4686809,156.84301382902925,130.90688074686383,101.75897120684385,11,0.0024720877408981323,1.7739003598690033,0.17764006089419127
78,0.152557833,1784957325.814909,134.1724459707708,131.17140755901997,129.068689474836,12,-0.005580364377237856,1.4433813989162445,0.2177894078195095
80,0.152557833,1784957326.1781492,149.07771328079627,132.22294116562972,125.18714847415686,13,-0.007138429529732093,2.49020142108202,0.26192209124565125
82,0.152557833,1784957326.51331,126.49420277396229,132.55166543230808,145.54116748645902,12,-0.0016032775456551462,3.0186859369277954,0.24164698831737041
84,0.152557833,1784957326.814838,139.3836131328878,132.54980559005037,128.31755793094635,13,-0.0033091342193074524,3.498180329799652,0.2583018420264125
86,0.152557833,1784957327.1515038,129.42588760963767,132.50800358097783,142.377388112247,9,-0.0018262988305650651,0.6565612684935331,0.16935981903225183
88,0.152557833,1784957327.468367,142.75336413580712,132.84018702534678,109.26902842149138,11,-0.0023525395372416824,1.178374733775854,0.21250628121197224
90,0.152557833,1784957327.80084,154.76423473026796,132.79764715340522,113.13274020701647,9,-0.0012646422255784273,4.675832688808441,0.1404263866133988
