_step,_runtime,_timestamp,train/reward,train/reward_rolling_avg,train/distance,train/consumption,train/actor_loss,train/critic_loss,train/entropy
2,0.170954083,1785042910.525889,-2380.0166432596925,-2260.216603277978,2288.8121239691973,131,-0.006776742957299575,12736.700988769531,0.6929816417396069
4,0.170954083,1785042910.827151,-2659.254986974317,-2380.4172620454738,2429.8199383467436,155,-0.0070923166058491915,7867.083740234375,0.6922612600028515
6,0.170954083,1785042911.882199,-634.461959123857,-1979.1260298031593,1234.0919491127133,82,-0.011011498980224133,815.0763130187988,0.5852771140635014
8,0.170954083,1785042912.926014,-121.63480047797476,-1528.1117934222398,592.7298710495234,46,-0.005866354331374168,24.18693447113037,0.4007159434258938
10,0.170954083,1785042913.9300292,73.14372133191502,-1215.1043530257064,249.19711250811815,27,-0.0009191314456984401,26.319130182266235,0.36970338225364685
12,0.170954083,1785042914.317146,-59.08698731622944,-1016.8216174389735,470.6320989280939,38,-0.010959922263282351,4.349008694291115,0.30401654727756977
14,0.170954083,1785042914.960076,113.39404620436429,-858.6571006656675,157.53461956232786,17,-0.003753419849090278,12.734953761100769,0.2711270861327648
16,0.170954083,1785042915.992021,151.66023165826445,-734.6023014887356,98.54181587323546,9,-0.0008451166795566678,13.074359834194183,0.181123117916286
18,0.170954083,1785042916.3018298,119.82539113995027,-640.3375400293685,155.18191058188677,9,-0.00140412210021168,4.610432550311089,0.1465665204450488
20,0.170954083,1785042916.58657,122.84074981626063,-564.7983458938011,154.2851777970791,8,-0.0019081421778537333,11.69373020529747,0.17106020636856556
22,0.170954083,1785042916.864172,132.39728192991367,-501.3600582044857,120.43612798303366,12,-0.0011960569536313415,3.6291828751564026,0.12466078530997038
24,0.170954083,1785042917.120553,117.32021820806837,-449.60544458479654,155.04221788793802,16,-0.002592338089016266,3.868916377425194,0.24924485199153423
26,0.170954083,1785042917.372513,122.17396147867908,-405.9032467236488,152.11562329530716,15,-0.0017849100404419005,16.62551462650299,0.18257637321949005
28,0.170954083,1785042917.647722,146.49972039810805,-367.49158430394215,140.49941298365593,11,-0.001935391075676307,8.045169979333878,0.1885543428361416
30,0.170954083,1785042917.947356,113.44077255118556,-334.84878563860747,168.56122836843133,14,-0.005036927206674591,2.7696482688188553,0.16577321104705334
32,0.170954083,1785042918.214402,140.61680395158825,-305.20233467013674,120.23026083409786,9,-0.0015576740624965169,17.6973095536232,0.1439349176362157
34,0.170954083,1785042918.54322,138.7740886025843,-279.1317379365099,116.57679660618305,12,-0.002314342767931521,1.5896542146801949,0.19550347793847322
36,0.170954083,1785042918.806391,78.6240867112435,-257.5760214328884,158.21229070052505,5,-0.0015365482831839472,25.480390548706055,0.15726587921380997
38,0.170954083,1785042919.097476,142.99846519971652,-237.1855069584249,120.63732672482729,12,-0.003631922765634954,2.4064171835780144,0.10917588882148266
40,0.170954083,1785042919.382401,135.02229759292783,-218.58082511066178,128.32833497226238,10,-0.0017915413482114673,5.37561708688736,0.15771124605089426
42,0.170954083,1785042919.641073,125.20231769001339,-202.6085180389888,150.69729947298765,11,-0.0015650837740395218,21.974761724472046,0.14446373749524355
44,0.170954083,1785042919.922573,141.06657171354115,-187.17507128974177,123.90594335645437,10,-0.004790096514625475,3.993002250790596,0.2627280140295625
46,0.170954083,1785042920.178656,137.87896840262883,-173.1403202829952,120.94220344536006,14,-0.0031148201087489724,3.052609845995903,0.2651071958243847
48,0.170954083,1785042920.43753,84.48840938087875,-161.9973542625353,205.26862651109695,25,-0.0007536312914453447,5.52878911793232,0.350318843498826
50,0.170954083,1785042920.7466109,42.85425384726331,-152.6178426926854,272.9451945871115,34,-0.002027201931923628,3.783201515674591,0.3965609334409237
52,0.170954083,1785042921.026206,68.12254803679886,-58.78595969216111,250.47183999419212,23,-0.007474625061149709,5.723569363355637,0.2598061366006732
54,0.170954083,1785042921.304945,114.78913277565512,45.663338018422536,174.94850286096334,10,-0.0034382318262942135,1.387473702430725,0.25022726971656084
56,0.170954083,1785042921.556399,123.3668431259662,97.6881063703198,127.83088063076138,13,-0.0023375381715595722,1.8317565396428108,0.2163140894845128
58,0.170954083,1785042921.816132,138.4446008751812,110.31534072575934,130.58211060613394,11,-0.0018941953603643924,3.0702757835388184,0.18120029754936695
60,0.170954083,1785042922.12339,120.25546671209717,113.99326966264846,137.38261374086142,11,-0.002295428537763655,2.200696639716625,0.23192254826426506
62,0.170954083,1785042922.762897,138.0125658914523,121.0276583812959,126.52361937239766,18,-0.0025078781181946397,1.0935132838785648,0.20171578042209148
64,0.170954083,1785042923.015541,137.45745612811106,123.22634643575766,126.95510519295931,8,-0.001581692777108401,5.583251431584358,0.17853183392435312
66,0.170954083,1785042923.296315,131.20115913838825,122.79101481764391,142.57035580649972,9,-0.001842680328991264,2.960064932703972,0.18607366364449263
68,0.170954083,1785042923.554024,128.19235830481642,123.05716382192023,139.0917724147439,11,-0.00395486930210609,1.4546279683709145,0.2366130668669939
