_step,_runtime,_timestamp,train/reward,train/reward_rolling_avg,train/distance,train/consumption,train/actor_loss,train/critic_loss,train/entropy
2,0.17440754,1784955932.4403992,-1284.574768275919,-1964.8871282766008,1736.147278815508,125,-0.015009435126557946,2684.6771697998047,0.6610966101288795
4,0.17440754,1784955933.475786,-185.80890731332644,-1209.3529808137873,717.1349342614412,56,-0.010499919328140095,66.7927896976471,0.494222080335021
6,0.17440754,1784955934.526119,6.5573173604881525,-807.7801781035164,352.0660351663828,29,-0.008699637546669692,7.50088033080101,0.36049922928214073
8,0.17440754,1784955935.164138,23.33471631008059,-605.1010475441312,304.7653551027179,33,-0.002282673944137059,9.40808555483818,0.3926039170473814
10,0.17440754,1784955935.8812711,63.21798155693734,-477.51446438977183,256.8097698315978,26,-0.007489408482797444,9.664432883262634,0.32343424670398235
12,0.17440754,1784955936.8412569,93.97250774139734,-380.29663418590127,189.0886136442423,23,-0.0032503417460247874,8.418376952409744,0.18364393059164286
14,0.17440754,1784955937.0975318,115.74866009764344,-309.97543646779224,154.34830318391323,15,-0.0023005868424661458,8.150180995464325,0.19028588384389877
16,0.17440754,1784955937.720829,128.29726949330563,-257.4477151278429,147.0161846280098,13,-0.00217030307976529,15.557379603385925,0.17390843480825424
18,0.17440754,1784955938.1552541,104.46655711246221,-216.8243355231061,147.59633241966367,13,-0.001979487089556642,6.026983380317688,0.164091682061553
20,0.17440754,1784955938.808948,99.63478103551725,-183.2947613440345,175.06361747160554,15,-0.002591538242995739,6.180789306759834,0.17179954051971436
22,0.17440754,1784955939.148541,136.71328605843772,-155.48749309086384,121.53602200746536,11,-0.0011265230714343488,8.525337487459183,0.12951401621103287
24,0.17440754,1784955939.78789,139.99090844411668,-131.06775675985332,134.47090223431587,8,-0.0009120114846155047,6.642807066440582,0.13776393327862024
26,0.17440754,1784955940.317145,130.2190055772971,-111.13987770996958,133.77756012231112,10,-0.0033509728382341564,16.872426360845566,0.12826941814273596
28,0.17440754,1784955940.653096,122.40761591825866,-94.95556849744916,123.66315630078316,7,-0.0013953220914117992,5.062532931566238,0.1387094259262085
30,0.17440754,1784955940.956191,86.48104494352526,-81.70424173991326,209.28404657542706,16,-0.0007654557848582044,5.137598276138306,0.1463060826063156
32,0.17440754,1784955941.6702578,116.16548652562382,-68.43564775140797,162.43072675913572,16,-0.002531148958951235,13.596835106611252,0.23373069986701012
34,0.17440754,1784955942.045374,122.42719648945464,-57.48941791386239,151.33883567526937,16,-0.001888424092612695,4.4313903748989105,0.15036352258175611
36,0.17440754,1784955942.349225,98.29962402545385,-47.69053790077672,192.51669335365295,14,-0.0013838645027135499,20.345372885465622,0.14020350016653538
38,0.17440754,1784955942.649058,111.73924742850377,-38.61998736403932,146.3440460152924,11,-0.001973734877537936,3.0870160907506943,0.19456783682107925
40,0.17440754,1784955942.9230201,130.03068070505142,-29.834545874028414,154.7712583169341,14,0.0017926232540048659,5.383580237627029,0.19943255186080933
42,0.17440754,1784955943.651712,132.1067205314631,-21.661638387656268,123.62842428684235,14,-0.0026207633200101554,16.55777046084404,0.2022601356729865
44,0.17440754,1784955943.9478989,105.86101814720706,-15.306321762679913,185.80099744349718,18,-0.0033688475959934294,2.7056826800107956,0.15131732169538736
46,0.17440754,1784955944.207011,127.02763507436988,-8.915108693615108,146.24250230193138,15,-0.002556096063926816,2.6966440230607986,0.18783843331038952
48,0.17440754,1784955944.482711,129.20450362528734,-3.302814137858102,125.74625824764371,11,-0.001686141244135797,22.28409254550934,0.20170185808092356
50,0.17440754,1784955944.7709692,105.34491234311619,1.3094954091448516,176.33302899450064,17,-0.004402559548907448,3.631314292550087,0.18438514694571495
52,0.17440754,1784955945.022388,150.61878270220546,85.51499089514047,125.24471095204353,7,-0.002335796656552702,16.25507551431656,0.16373545117676258
54,0.17440754,1784955945.30033,116.4137840364744,108.54967431287804,166.85678941756487,17,-0.00041659361158963293,6.154304534196854,0.2520267218351364
56,0.17440754,1784955945.551903,128.53428229242277,114.00999797919036,112.65306927263737,9,-0.0019011203839909285,2.1637097150087357,0.24723542854189873
58,0.17440754,1784955945.818283,127.17102259246354,119.00083781622452,128.27069360017776,13,-0.0028976518660783768,1.6325325146317482,0.3279529046267271
60,0.17440754,1784955946.097122,125.30236831381919,122.78789780792812,149.0695958212018,19,-0.0022276853414950892,2.1956025809049606,0.2497203480452299
62,0.17440754,1784955946.3583622,97.75921736660477,122.26916320179912,167.82286701723933,24,-0.0003041036252398044,4.8418242037296295,0.23515515308827162
64,0.17440754,1784955946.61357,126.9052470789366,123.34052174307675,142.9699291549623,20,-0.0028469243552535772,4.011062666773796,0.2516119945794344
66,0.17440754,1784955946.8911328,132.70731284003386,123.97835906427775,127.12080310285091,15,-0.0015162932104431093,1.9559334889054298,0.217555433511734
68,0.17440754,1784955947.157242,125.49710029302143,124.7697490456577,145.3921484015882,12,-0.002881102089304477,1.9353233650326729,0.22410861868411303
70,0.17440754,1784955947.4590578,123.58229468509205,125.13477678968191,131.9114368930459,11,-0.0005412786267697811,1.145669613033533,0.21657877508550882
72,0.17440754,1784955947.724333,140.13684190973467,125.43018628215908,111.70953378081322,11,-0.0026563553255982697,1.8808201849460602,0.18576471228152514
74,0.17440754,1784955947.976707,128.50129912147435,124.45470989939685,151.49186789989471,14,-0.004273743834346533,2.599298268556595,0.3231694083660841
76,0.17440754,1784955948.2691379,132.3686539693831,124.65930275974682,124.50413208082318,12,-0.0025005246425280347,1.8916390612721443,0.24011966865509748
78,0.17440754,1784955948.605749,146.16753422263548,125.12623411901579,110.49637540057302,11,-0.002317015765584074,0.9430565685033798,0.204435589723289
80,0.17440754,1784955948.889766,146.05110236226824,126.85638429581162,110.29660807177424,13,-0.0058304047415731475,2.762547977268696,0.26708517502993345
82,0.17440754,1784955949.194751,146.8203574254264,127.17817531223147,101.57638926059008,12,-0.0017539926338940859,1.9678907319903374,0.17114598024636507
84,0.17440754,1784955949.454915,136.5847029147041,128.11895451408128,122.57305639609694,15,-0.0015380728291347623,3.226859398186207,0.18314069416373968
