_step,_runtime,_timestamp,train/reward,train/reward_rolling_avg,train/distance,train/consumption,train/actor_loss,train/critic_loss,train/entropy
2,0.373709333,1785042332.445291,-4398.541518043812,-4086.80226694235,3086.980316966772,193,-0.0057564191811252385,23347.130004882812,0.626974917948246
4,0.373709333,1785042333.1794932,-4115.854066988642,-3995.5504327554368,3011.8312988579273,196,-0.007057066075503826,21497.76416015625,0.6545711942017078
6,0.373709333,1785042333.936696,-2675.1868307547393,-3805.844157341362,2459.9846106618643,165,-0.006701786653138697,13566.3955078125,0.6876596584916115
8,0.373709333,1785042334.997151,-906.7868403191601,-3269.2411938102814,1454.45754712075,99,-0.00866541056893766,1566.6579284667969,0.6356792338192463
10,0.373709333,1785042335.915231,-437.1983562275372,-2691.983259036809,1034.2270594388247,75,-0.006132362759672105,156.8997621536255,0.5796199813485146
12,0.373709333,1785042336.77825,-201.90103140158382,-2272.386390175387,734.8661283403635,53,-0.00404290299047716,93.72889947891235,0.4339291397482157
14,0.373709333,1785042337.781003,42.958761947112464,-1948.9427065577256,317.1582737956196,24,-0.003599059142288752,17.783700227737427,0.33429617434740067
16,0.373709333,1785042338.0973911,-0.4047222796803767,-1705.2552600448441,355.61515464633703,35,-0.003182050888426602,10.56287568807602,0.4246738627552986
18,0.373709333,1785042338.795288,63.09942397142472,-1513.0137960279944,250.5435954593122,28,-0.004535641404800117,9.763963550329208,0.3063551299273968
20,0.373709333,1785042339.433446,74.38351375585421,-1351.7482453883667,223.36430482193828,20,-0.001930195721797645,6.428981602191925,0.19524768739938736
22,0.373709333,1785042340.09978,127.54894650289307,-1216.263692733613,134.53134541213512,10,-0.0033530720393173397,10.861431002616882,0.14510292746126652
24,0.373709333,1785042340.421746,141.70042459025336,-1103.3532511294604,137.30390698835254,5,-0.004943161504343152,7.942289561033249,0.2000359185039997
26,0.373709333,1785042340.83166,118.32687552711882,-1008.5337880238937,157.8152710646391,21,-0.002369925074162893,13.181837886571884,0.21595989167690277
28,0.373709333,1785042341.128053,69.73133775221599,-930.4297139587134,277.9728201851249,21,-0.002750552295765374,2.795193538069725,0.1766301766037941
30,0.373709333,1785042341.395555,136.3704992137025,-859.6342930550202,124.52958678081632,13,-0.003911775012966245,3.9638534635305405,0.2487032925710082
32,0.373709333,1785042341.703914,116.6075838710098,-798.5098996999284,155.82468858361244,14,-0.0021000626729801297,9.873640686273575,0.16529096476733685
34,0.373709333,1785042342.039713,125.79352232474572,-743.9472012586867,140.76529959589243,13,-0.0025676473742350936,9.775130450725555,0.1526786545291543
36,0.373709333,1785042342.4268732,119.80856923757088,-695.7972658972831,137.0011870227754,12,-0.0021353120973799378,3.4044816493988037,0.13198064360767603
38,0.373709333,1785042342.729183,143.63766304065786,-652.6152697013376,106.41593632102013,8,-0.0013736733453697525,3.805793896317482,0.12568034511059523
40,0.373709333,1785042342.9967308,134.53062904108754,-613.9434916325863,126.56771969422698,11,-0.0019931142451241612,3.756853923201561,0.14388420060276985
42,0.373709333,1785042343.255599,135.0324616151771,-579.150055480459,133.88475612550974,7,-0.0018353593623032793,1.9710892662405968,0.13715282455086708
44,0.373709333,1785042343.5679371,120.38082952191618,-547.7782302172316,142.4936122149229,12,-0.0011331981513649225,0.8685513511300087,0.14771121088415384
46,0.373709333,1785042343.837729,137.08328917621344,-518.3166121820914,114.02531871944666,9,-0.002843143985955976,0.5849271975457668,0.12566369120031595
48,0.373709333,1785042344.134474,146.70210606649533,-491.19405247195226,112.98652221262455,11,-0.0010471694404259324,3.0330219864845276,0.13759607914835215
50,0.373709333,1785042344.767305,154.268704442276,-466.0882631431263,99.40549654141068,10,-0.0021471051732078195,2.3216850832104683,0.17273311968892813
52,0.373709333,1785042345.140481,137.60432968479012,-296.8351808089108,129.6836363747716,11,-0.0038850793498568237,3.0693653225898743,0.13453022670000792
54,0.373709333,1785042345.448856,75.60246103767041,-136.79195361694772,172.0874631255865,8,-0.0015329698799178004,1.5496672540903091,0.11007324419915676
56,0.373709333,1785042345.870262,135.39688057924965,5.308337131474149,134.0784229710698,11,-0.001461033767554909,1.5165704749524593,0.1385405957698822
58,0.373709333,1785042346.1365361,122.77982709317251,76.8868635835803,170.2401096597314,9,-0.0011141769355162978,1.5551157146692276,0.15955664310604334
60,0.373709333,1785042346.462593,130.21597457444798,96.88119133201153,135.8117407783866,15,-0.003701582463691011,2.1891044303774834,0.18170360755175352
62,0.373709333,1785042346.7422342,125.0214533085951,108.72167442131398,159.21760406717658,13,-0.001767992158420384,1.4334885738790035,0.1674420926719904
64,0.373709333,1785042347.01297,134.67563595977296,113.79856401427766,124.95553361997008,12,-0.0016359026776626706,1.9026672169566154,0.19733764044940472
66,0.373709333,1785042347.8887308,121.1693753222202,119.52770252977602,144.31812276691198,10,-0.0026757293671835214,1.123031385242939,0.23161097522825003
68,0.373709333,1785042348.156754,115.79933909171396,123.41431305298114,157.69376275129616,17,-0.0013542974047595635,4.407451584935188,0.22014846745878458
70,0.373709333,1785042348.463924,111.56806446156764,123.93197494949548,175.55626725405455,16,-0.006510593157145195,1.702224388718605,0.2006024895235896
