_step,_runtime,_timestamp,train/reward,train/reward_rolling_avg,train/distance,train/consumption,train/actor_loss,train/critic_loss,train/entropy
2,0.183256709,1785043380.056582,-1611.874037352717,-2066.0389152084226,1903.0788660645485,114,-0.01456605052226223,5300.8829345703125,0.6416277773678303
4,0.183256709,1785043380.757112,-1140.5387879749271,-1504.2355651422795,1623.488704815507,101,-0.008022312977118418,2688.9273223876953,0.6411878205835819
6,0.183256709,1785043381.7717388,-345.1782470429002,-1128.2264219620254,938.3972809240222,78,-0.008557511842809618,309.66868019104004,0.5650354810059071
8,0.183256709,1785043382.773439,-18.919578354628236,-886.9321280862052,419.47894805669785,36,-0.006389477668562904,15.50866711139679,0.43608357943594456
10,0.183256709,1785043383.522942,-6.169903527925567,-716.4682268320099,382.64300698786974,35,-0.0064788899617269635,23.8886821269989,0.3445248082280159
12,0.183256709,1785043384.643421,46.4096842935637,-592.9726320763954,313.8496128208935,27,-0.0064945133635774255,10.875937283039093,0.40039530396461487
14,0.183256709,1785043385.289214,86.72027767370601,-495.55863726844433,203.4604377578944,19,-0.009003936778753996,6.054548799991608,0.19857448246330023
16,0.183256709,1785043386.4309618,140.2915230128782,-417.16775320149867,142.3285757638514,7,-0.0016027172096073627,19.50645649433136,0.20578593760728836
18,0.183256709,1785043387.1593668,130.34575145547564,-355.11588546677257,139.7706207856536,5,-0.0029780673794448376,2.532835565507412,0.23490627575665712
20,0.183256709,1785043387.53564,118.84163164322145,-307.44679692134594,157.6932737454772,13,-0.0014653418329544365,11.83854815363884,0.18114221096038818
22,0.183256709,1785043387.841551,106.81286049875366,-268.9420752402059,190.98097187280655,15,-0.002664187573827803,5.385675400495529,0.12267935555428267
24,0.183256709,1785043388.1504269,102.61504351218495,-237.080987049728,166.15306501090527,8,-0.0025732581852935255,1.5942500904202461,0.22399415262043476
26,0.183256709,1785043388.7830532,156.2351628230134,-207.66494154820677,101.30674710031599,9,-0.0038629562477581203,15.457239031791687,0.19780056457966566
28,0.183256709,1785043389.1010408,134.33179826144917,-182.93701535960471,129.13956385292113,15,-0.004588959971442819,4.322342664003372,0.3314979914575815
30,0.183256709,1785043389.442809,63.770184726046146,-166.02553387488524,255.1907067373395,20,-0.0038187517784535885,2.2195640951395035,0.25688534788787365
32,0.183256709,1785043389.714533,95.56262568133106,-149.50547076372328,193.26217676699162,17,-0.0031368875497719273,14.298470243811607,0.31021979078650475
34,0.183256709,1785043389.9972951,98.01138912173407,-134.4987590948793,197.586992431432,17,-4.3611740693449974e-05,2.708264172077179,0.2567632980644703
36,0.183256709,1785043390.272384,125.8449954628984,-120.36141258072007,139.99174700677395,13,-0.00339286656526383,15.580979496240616,0.24545582756400108
38,0.183256709,1785043390.5823538,118.14912344985338,-107.31435067579444,155.1620157957077,10,-0.006325039576040581,3.2260508984327316,0.2481636693701148
40,0.183256709,1785043390.854051,119.90087793021729,-95.85246912475901,162.94215872511268,16,-0.0030007744644535705,3.1760478615760803,0.29152801632881165
42,0.183256709,1785043391.1203809,114.85741328995441,-85.16510905703015,153.19528741762042,15,-0.0028814782854169607,13.422039866447449,0.28484985046088696
44,0.183256709,1785043391.408318,109.84022264065274,-76.1674887757605,140.71449851244688,8,-0.0011039826204068959,0.9660162050276995,0.26176435593515635
46,0.183256709,1785043391.6651862,132.26548152044325,-67.37232087984769,135.59957081079483,9,-0.0004351257812231779,2.0623755529522896,0.1907378602772951
48,0.183256709,1785043391.921408,129.42638989369343,-58.77636595749092,132.75441110413522,11,-0.004551011195871979,8.89853310585022,0.34562368504703045
50,0.183256709,1785043392.5642931,124.05577839088525,-50.81740924545361,142.33807282149792,15,-0.001639990834519267,4.336548015475273,0.32370482943952084
52,0.183256709,1785043392.861079,108.69442596579486,35.9134836691611,154.14636889100075,20,-0.00033140211598947644,3.9137581884860992,0.3175965603441
54,0.183256709,1785043393.1569438,92.03492749719415,77.43358436694857,204.52223475277424,16,-0.0024395869695581496,3.100181356072426,0.25507976301014423
56,0.183256709,1785043393.4290502,111.30937126788413,96.87533680747129,155.21320232748985,18,-0.01035829758620821,0.9468868188560009,0.31326264701783657
58,0.183256709,1785043393.7809222,125.153814481083,108.03567853101859,131.2945850417018,13,-0.0030177501612342894,2.533161260187626,0.3511140998452902
60,0.183256709,1785043394.072167,100.68445722601163,113.5283368441901,163.50647814571857,14,-0.0028340389544609934,1.7559359297156334,0.3036568220704794
62,0.183256709,1785043394.338642,107.39004494015016,117.19021974799249,184.42138471454382,14,-0.004582648689392954,4.079341024160385,0.2942390888929367
64,0.183256709,1785043394.648312,121.83314108021038,118.86691270028547,148.49916103482246,12,-0.0021159722964512184,5.586069270968437,0.33436323143541813
66,0.183256709,1785043394.935401,128.73908460322758,119.09846446418896,152.46744526922703,12,-0.0033925879979506135,4.344992712140083,0.1970079392194748
68,0.183256709,1785043395.243287,126.26741526662752,119.09092978174407,126.34088944643736,10,-0.007763615984003991,3.4474538564682007,0.22785653173923492
70,0.183256709,1785043395.565491,119.52077997256501,119.25490899859673,132.9733020476997,10,-0.0010721665021264926,2.8094116151332855,0.18944027367979288
72,0.183256709,1785043395.915404,125.0519059525273,119.79315940798598,136.08294160664082,10,-0.003429005912039429,1.0710792429745197,0.32394031062722206
74,0.183256709,1785043396.261848,121.00050897969297,120.5799038248151,135.96560874581337,11,-0.003656425076769665,2.550636738538742,0.25627562403678894
76,0.183256709,1785043396.592574,136.95020550549313,119.96670134756336,112.71940620802343,10,-0.0031041698821354657,1.7948440089821815,0.29125894233584404
78,0.183256709,1785043396.917427,146.41000219012653,120.33794176441502,118.35256311297417,12,-0.0032849411945790052,0.86845763027668,0.2627935679629445
80,0.183256709,1785043397.2101052,136.88679082691823,123.06297396485961,130.0396588370204,14,-0.003911786174285226,3.730757214128971,0.27639838587492704
82,0.183256709,1785043397.505553,127.34495462008793,124.40079484709604,138.33223720267415,16,-0.002801046008244157,2.266266979277134,0.2529590968042612
84,0.183256709,1785043397.777996,132.68741512135546,125.59333888911813,129.4671484529972,17,-0.002503872208762914,2.8408026918768883,0.24744822829961777
86,0.183256709,1785043398.093024,142.3489364230908,126.62735705924032,119.84515608288348,14,-0.003198980586603284,1.2654005959630013,0.24272322840988636
88,0.183256709,1785043398.7162921,137.05671334827446,127.5467272075097,140.56643756851554,17,-0.0028173954488011077,2.2118099629879,0.17931511066854
90,0.183256709,1785043398.986985,145.5086506967095,127.88432758831902,109.72355538792908,16,-0.003475047036772594,2.5748532339930534,0.29597192630171776
92,0.183256709,1785043399.307298,146.98727155891964,128.8702526902851,106.60783067625016,14,-0.0032193069346249104,1.910933069884777,0.2900052089244127
94,0.183256709,1785043399.58182,121.4075110532618,129.50376963595917,142.44666132330894,14,-0.0024776648497208953,1.0130341984331608,0.24053827952593565
96,0.183256709,1785043399.85646,142.5680796051478,130.2269148123296,116.6412136927247,16,-0.004063576940097846,1.5934593379497528,0.3168318551033735
98,0.183256709,1785043400.160853,119.9467130573907,129.56241079241016,141.20515126734972,22,-0.005623899109195918,2.4958198219537735,0.3321965057402849
100,0.183256709,1785043400.4308422,133.60235307748002,129.36908324744792,133.75173568725586,16,-0.003740935819223523,2.500395603477955,0.29696974344551563
102,0.183256709,1785043400.715199,125.81269730093143,130.31069462354958,133.6320907957852,15,-0.003588186125853099,1.428146667778492,0.24190381541848183
104,0.183256709,1785043400.9733691,127.38989580707884,131.67075449979257,135.11115930229425,13,-0.003468737762887031,1.4560632854700089,0.1827765079215169
106,0.183256709,1785043401.230127,113.82212317447913,132.3246827340821,141.96272956579924,9,-0.004572002275381237,3.1335050463676453,0.37773346714675426
